"id","date","confirmed","novos_casos","novos_casos_mm7d","novos_casos_mm7d_10k","deaths","novas_mortes","novas_mortes_mm7d","novas_mortes_mm7d_10k","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","pop_pct_vacinada","pop_pct_naovacinada","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm","retail_and_recreation_percent_change_from_baseline","retail_pct_mm7d","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"8368","59a13ceb",2020-06-15,2126574,20117,24096.1428571429,0.7375899838036,116216,448,641.857142857143,0.0196474349613132,NA,27193416,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-14,-14.7142857142857,-2,45,-32,-35,11
"8369","59a13ceb",2020-06-16,2151459,24885,24859.4285714286,0.760954382868433,116985,769,630.285714285714,0.0192932301467424,NA,27866458,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-13,-14.4285714285714,1,57,-31,-36,11
"8370","59a13ceb",2020-06-17,2177114,25655,25815.2857142857,0.790213449711555,117746,761,609.428571428571,0.018654786900726,NA,28572512,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-12,-14.2857142857143,0,58,-31,-36,11
"8371","59a13ceb",2020-06-18,2205173,28059,26850.8571428571,0.821912594166164,118473,727,600.857142857143,0.0183924129640069,NA,29274612,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-13,-14.4285714285714,1,59,-31,-36,11
"8372","59a13ceb",2020-06-19,2236009,30836,28329.2857142857,0.867167725351259,119171,698,588.285714285714,0.018007597856819,NA,29979036,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-15,-14.7142857142857,0,60,-28,-36,9
"8373","59a13ceb",2020-06-20,2268034,32025,29782.8571428571,0.911661972119868,119717,546,597.428571428571,0.0182874633893193,NA,30563267,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-17,-14.7142857142857,6,69,-20,-11,3
"8374","59a13ceb",2020-06-21,2294413,26379,31402,0.961224408766101,119974,257,598.285714285714,0.0183137007829912,NA,30984689,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-17,-14.7142857142857,2,59,-23,-13,2
"8375","59a13ceb",2020-06-22,2324879,30466,33275.4285714286,1.018570605535,120334,360,846.714285714286,0.025918172048899,NA,31532793,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-16,-14.7142857142857,-5,43,-32,-38,11
"8376","59a13ceb",2020-06-23,2359939,35060,35374.2857142857,1.08281723683961,121167,833,837.428571428571,0.0256339336174533,NA,32233482,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-13,-15,0,54,-30,-38,11
"8377","59a13ceb",2020-06-24,2396928,36989,36842,1.12774440060381,121934,767,832.428571428571,0.0254808821543672,NA,33000617,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-2,-4,-1,-2,-2,3,2,3,1,-3,0,2,64.06,68.98,64.29,62.5,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA",-12,-15.2857142857143,-1,57,-30,-36,11
