"id","date","confirmed","novos_casos","novos_casos_mm7d","novos_casos_mm7d_10k","deaths","novas_mortes","novas_mortes_mm7d","novas_mortes_mm7d_10k","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","pop_pct_vacinada","pop_pct_naovacinada","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm","retail_and_recreation_percent_change_from_baseline","retail_pct_mm7d","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"632","9164293b",2021-10-03,8111741,32030,34588,5.20430649591582,138003,96,110.571428571429,0.0166372037694281,NA,302451704,95254996,48956859,44992044,0.676975791759369,0.323024208240631,6634,NA,778,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-8,-11.4285714285714,1,30,-19,-5,2
"633","9164293b",2021-10-04,8155447,43706,35427.1428571429,5.33056868576288,138106,103,112,0.0168521547225215,NA,303487459,95445881,48994530,45021381,0.677417212887132,0.322582787112868,6825,NA,769,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-10,-11.2857142857143,4,29,-30,-32,7
"634","9164293b",2021-10-05,8194686,39239,36360.5714285714,5.47101763851409,138226,120,110.714285714286,0.0166586988647374,NA,304411776,95671900,49035877,45049953,0.677847123391357,0.322152876608643,6901,NA,800,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-14,-11.2857142857143,3,18,-32,-32,8
"635","9164293b",2021-10-06,8233921,39235,37214.8571428571,5.59955830846394,138329,103,111.714285714286,0.0168091645319028,NA,305545038,95895401,49068705,45078529,0.678277094081848,0.321722905918152,6886,NA,807,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-9,-10.2857142857143,5,38,-30,-30,7
"636","9164293b",2021-10-07,8272364,38443,37838.7142857143,5.69342738967982,138452,123,111.714285714286,0.0168091645319028,NA,306620728,96134715,49101734,45107185,0.678708268497677,0.321291731502323,6836,NA,808,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-10,-10.2857142857143,5,35,-30,-30,7
"637","9164293b",2021-10-08,8307937,35573,38774.2857142857,5.83419876886068,138572,120,114.857142857143,0.0172820566287082,NA,307596854,96369396,49133419,45136253,0.679145642098994,0.320854357901006,6815,NA,780,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-10,-10,5,37,-26,-29,6
"638","9164293b",2021-10-09,8340215,32278,40064.4285714286,6.02832097459931,138689,117,114.142857142857,0.0171745811521615,NA,308335879,96685077,49164814,45169730,0.679649356012963,0.320350643987037,6759,NA,768,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-11,-9.71428571428571,1,37,-19,-7,1
"639","9164293b",2021-10-10,8376612,36397,41278.5714285714,6.21100778963338,138785,96,116.571428571429,0.0175399977724203,NA,309337726,96820110,49186920,45189181,0.679942026782167,0.320057973217833,6930,NA,744,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-8,-9.85714285714286,-1,48,-19,-5,1
"640","9164293b",2021-10-11,8426867,50255,42412.2857142857,6.38159286600829,138910,125,120.285714285714,0.0180988702504631,NA,310375182,96997450,49216092,45212813,0.680297607246812,0.319702392753188,7084,NA,747,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-8,-10,5,45,-29,-31,7
"641","9164293b",2021-10-12,8475137,48270,43548.4285714286,6.55254335900346,139025,115,123,0.0185072770613405,NA,311316123,97224561,49252939,45239759,0.680703052033556,0.319296947966444,7114,NA,780,1,-2,-1,-3,-1,0,0,3,2,2,1,-3,5,-2,46.88,41.2,50,25,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",-12,-9.85714285714286,5,33,-30,-30,7
